observationTimeUtcIso,Date,Time,Weekday,precip1Hour,precip24Hour,precip6Hour,pressureChange,relativeHumidity,wxPhraseCode,iconCode,snow1Hour,snow24Hour,snow6Hour,temperature,temperatureChange24Hour,temperatureDewPoint,temperatureFeelsLike,temperatureMax24Hour,temperatureMin24Hour,uvIndex,visibility,windGust,windSpeed
2018-01-01T00:20:00+0000,2018-01-01,00:20:00,1,0,5.9,0.1,4,80.3,2900,29,0,0,0,6.6,-2.7,3.5,2.8,13,6.6,0,14.2,33.8,23
2018-01-01T01:20:00+0000,2018-01-01,01:20:00,1,0,5.9,0.1,3.7,80.4,2900,29,0,0,0,6.1,-3.7,3,2.5,13,6.1,0,13.6,null,19.8
2018-01-01T02:20:00+0000,2018-01-01,02:20:00,1,0.1,6.1,0.2,2.6,83.8,2900,29,0,0,0,5.9,-3.9,3.3,2.1,12.9,5.8,0,13.5,null,19.4
2018-01-01T03:20:00+0000,2018-01-01,03:20:00,1,0,6.1,0.1,1.5,81.6,2900,29,0,0,0,5.4,-4.2,2.5,2,12.9,5.4,0,15.2,null,16.6
2018-01-01T04:20:00+0000,2018-01-01,04:20:00,1,0.4,6.5,0.6,0.1,82.5,2900,29,0,0,0,5.5,-4.1,2.8,1.6,12.8,5.3,0,15.2,32.8,20.5
2018-01-01T05:20:00+0000,2018-01-01,05:20:00,1,0.1,6.7,0.7,-0.6,82.3,2900,29,0,0,0,5.1,-4.1,2.5,1.6,12.6,5.1,0,13.1,null,17.6
2018-01-01T06:20:00+0000,2018-01-01,06:20:00,1,0,6.1,0.7,-1.4,84.9,2900,29,0,0,0,5,-3.9,2.6,1.8,11.9,5,0,12,null,15.1
2018-01-01T07:20:00+0000,2018-01-01,07:20:00,1,0,5.5,0.7,-1.8,82.6,2900,29,0,0,0,5.6,-3.2,3,3,11.5,4.9,0,11.5,null,12.2
2018-01-01T08:20:00+0000,2018-01-01,08:20:00,1,0,3.7,0.6,-2.3,82.3,3000,30,0,0,0,6,-2.5,3.1,4,10.8,4.9,0,10.7,null,9
2018-01-01T09:20:00+0000,2018-01-01,09:20:00,1,0,3.3,0.6,-2.2,84.6,3000,30,0,0,0,5.9,-2.3,3.5,4.3,10.8,4.9,0,11,null,7.2
2018-01-01T10:20:00+0000,2018-01-01,10:20:00,1,0,3.3,0.1,-2,87.2,3000,30,0,0,0,5.9,-2.6,3.9,4.3,10.8,4.9,0,10.5,null,7.6
2018-01-01T11:20:00+0000,2018-01-01,11:20:00,1,0,3.3,0,-1.3,87,2800,28,0,0,0,6.6,-2.2,4.6,4.9,10.8,4.9,0,9.9,null,8.6
2018-01-01T12:20:00+0000,2018-01-01,12:20:00,1,0,3.3,0,-0.1,85.2,2800,28,0,0,0,7.5,-1.7,5.1,5,10.8,4.9,0,10.4,null,14
2018-01-01T13:20:00+0000,2018-01-01,13:20:00,1,0.4,3.7,0.4,1,82.1,2800,28,0,0,0,7.4,-1.7,4.6,4.3,10.8,4.9,0,10,null,18.7
2018-01-01T14:20:00+0000,2018-01-01,14:20:00,1,0,3.3,0.4,1.8,77.6,3000,30,0,0,0,8,-1.3,4.4,5.1,10.3,4.9,0,13.5,null,18.4
2018-01-01T15:20:00+0000,2018-01-01,15:20:00,1,0,1.8,0.4,2.5,75.2,3000,30,0,0,0,7.6,-0.4,3.6,4.6,8.5,4.9,0,13.4,null,19.1
2018-01-01T16:20:00+0000,2018-01-01,16:20:00,1,0,1.8,0.4,3,76.2,2900,29,0,0,0,7.5,-0.6,3.6,4.3,8.4,4.9,0,10.7,null,19.1
2018-01-01T17:20:00+0000,2018-01-01,17:20:00,1,0,1.8,0.4,3.5,78,2900,29,0,0,0,7,-0.6,3.4,3.5,8.1,4.9,0,12.4,null,19.8
2018-01-01T18:20:00+0000,2018-01-01,18:20:00,1,0,1.3,0.4,3.7,72.3,3300,33,0,0,0,7.3,-0.1,2.6,3.5,8,4.9,0,12.9,null,24.8
2018-01-01T19:20:00+0000,2018-01-01,19:20:00,1,0,1.3,0,3.9,71.4,3300,33,0,0,0,7.5,0.1,2.6,3.6,8,4.9,0,12.9,null,27.7
2018-01-01T20:20:00+0000,2018-01-01,20:20:00,1,0,1.3,0,4.2,70.3,2900,29,0,0,0,7.6,0.1,2.6,4,8,4.9,0,12.9,32,25.2
2018-01-01T21:20:00+0000,2018-01-01,21:20:00,1,0,1.2,0,4.3,72.1,2900,29,0,0,0,7.1,-0.2,2.6,3.5,8,4.9,0,13.6,null,23.4
2018-01-01T22:20:00+0000,2018-01-01,22:20:00,1,0,1.2,0,4.2,73.1,3100,31,0,0,0,6.8,-0.1,2.4,3.1,8,4.9,0,14.2,null,22.7
2018-01-01T23:20:00+0000,2018-01-01,23:20:00,1,0,1.2,0,4.3,73.8,3100,31,0,0,0,6.4,-0.3,2.1,2.8,8,4.9,0,14.2,null,20.2
2018-01-02T00:20:00+0000,2018-01-02,00:20:00,2,0,1.2,0,3.9,74.8,3100,31,0,0,0,6,-0.3,1.9,2.6,8,4.9,0,13.7,null,18.4
2018-01-02T01:20:00+0000,2018-01-02,01:20:00,2,0,1.2,0,3,80.7,3100,31,0,0,0,5.3,-0.6,2.1,1.6,8,4.9,0,13.7,null,18
2018-01-02T02:20:00+0000,2018-01-02,02:20:00,2,0,1,0,1.7,82.7,3100,31,0,0,0,4.6,-0.7,2,1.4,8,4.6,0,12.8,null,14.8
2018-01-02T03:20:00+0000,2018-01-02,03:20:00,2,0,1,0,0.8,82.9,3100,31,0,0,0,4.4,-0.6,1.6,1.4,8,4.4,0,12.2,null,12.6
2018-01-02T04:20:00+0000,2018-01-02,04:20:00,2,0,0.6,0,0.6,84.7,3300,33,0,0,0,3.8,-1,1.5,1.3,8,3.8,0,11.6,null,9.7
2018-01-02T05:20:00+0000,2018-01-02,05:20:00,2,0,0.4,0,0.5,83.4,2900,29,0,0,0,3.9,-0.8,1.3,1.6,8,3.6,0,10.8,null,8.3
2018-01-02T06:20:00+0000,2018-01-02,06:20:00,2,0,0.4,0,0.4,85.7,2700,27,0,0,0,4.1,-0.5,1.9,2,8,3.6,0,9.9,null,7.9
2018-01-02T07:20:00+0000,2018-01-02,07:20:00,2,0,0.4,0,-0.3,84.7,2900,29,0,0,0,4.6,-0.6,2.3,2.5,8,3.6,0,9.9,null,8.6
2018-01-02T08:20:00+0000,2018-01-02,08:20:00,2,0,0.4,0,-1,83.4,3000,30,0,0,0,5.1,-0.4,2.6,3,8,3.6,0,10.6,null,9.7
2018-01-02T09:20:00+0000,2018-01-02,09:20:00,2,0.2,0.6,0.2,-2,82.9,1200,12,0,0,0,6.1,0.1,3.5,4,8,3.6,0,5.4,null,10.1
2018-01-02T10:20:00+0000,2018-01-02,10:20:00,2,1.7,2.1,1.7,-2.9,88.4,1200,12,0,0,0,6.5,0.3,4.8,3.6,8,3.6,0,3.7,null,14.4
2018-01-02T11:20:00+0000,2018-01-02,11:20:00,2,2,3.9,3.4,-4,89.6,1200,12,0,0,0,7.4,0.4,5.8,4.8,8,3.6,0,4.1,null,14
2018-01-02T12:20:00+0000,2018-01-02,12:20:00,2,0.7,4.3,3.9,-4.1,90.7,2600,26,0,0,0,8.6,0.6,7.3,5.9,8.6,3.6,0,6.4,null,19.1
2018-01-02T13:20:00+0000,2018-01-02,13:20:00,2,0.3,4.2,4.2,-3.7,91.8,2880,28,0,0,0,9.9,1.3,8.6,7.1,9.9,3.6,0,4.8,null,20.2
2018-01-02T14:20:00+0000,2018-01-02,14:20:00,2,0,4.3,4.3,-3,90.9,2600,26,0,0,0,10.3,1.2,8.9,7.6,10.3,3.6,0,8.2,28.1,21.2
2018-01-02T15:20:00+0000,2018-01-02,15:20:00,2,0,4.3,4.3,-2.5,89.8,2800,28,0,0,0,10.5,1.6,8.9,8.1,10.6,3.6,0,11.8,null,18
2018-01-02T16:20:00+0000,2018-01-02,16:20:00,2,0,4.3,2.8,-1.8,86.5,2700,27,0,0,0,10.4,1.6,8.1,8.5,10.6,3.6,0,10.7,null,14
2018-01-02T17:20:00+0000,2018-01-02,17:20:00,2,0,4.3,1,-1.4,86,2700,27,0,0,0,10.1,1.8,8,8.1,10.6,3.6,0,9.1,null,15.8
2018-01-02T18:20:00+0000,2018-01-02,18:20:00,2,0,4.3,0.3,-2,82,2700,27,0,0,0,10.4,1.7,7.5,8.4,10.6,3.6,0,8.4,null,15.1
2018-01-02T19:20:00+0000,2018-01-02,19:20:00,2,0.1,4.4,0.2,-4,84.5,2700,27,0,0,0,10.5,1.6,8,7.6,10.6,3.6,0,8.8,null,23.8
2018-01-02T20:20:00+0000,2018-01-02,20:20:00,2,1.8,6.2,1.9,-6.4,87.1,1290,12,0,0,0,11,1.8,8.9,7.6,11,3.6,0,3.2,44.3,33.8
2018-01-02T21:20:00+0000,2018-01-02,21:20:00,2,1.2,7.1,2.7,-7.7,90,1290,12,0,0,0,11.1,2.2,9.6,7.9,11.1,3.6,0,4.2,50.4,34.2
2018-01-02T22:20:00+0000,2018-01-02,22:20:00,2,0.4,7.3,3,-6.8,90.8,2790,27,0,0,0,12,2.8,10.5,8.8,12,3.6,0,6.1,54.4,34.9
2018-01-02T23:20:00+0000,2018-01-02,23:20:00,2,2,9.3,5,-4.6,91.2,1290,12,0,0,0,12,3.1,10.6,8.8,12.1,3.6,0,3.2,55.8,36
2018-01-03T00:20:00+0000,2018-01-03,00:20:00,3,0.9,9.3,5,-2.2,76.4,2990,29,0,0,0,10,2.2,6.1,6.3,12.1,3.6,0,11.4,54.7,35.3
2018-01-03T01:20:00+0000,2018-01-03,01:20:00,3,0,9.3,4.8,-1,74.9,2990,29,0,0,0,9.6,2.3,5.4,5.6,12.1,3.6,0,10.6,53.3,34.2
2018-01-03T02:20:00+0000,2018-01-03,02:20:00,3,0.2,9.5,3.6,-0.4,68.9,1290,12,0,0,0,9,2.4,3.6,4.8,12.1,3.6,0,5.5,59.4,36.7
2018-01-03T03:20:00+0000,2018-01-03,03:20:00,3,0.3,9.6,2.7,0,63.6,2790,27,0,0,0,7.8,1.8,1.3,3.1,12.1,3.6,0,12.8,62.6,39.2
2018-01-03T04:20:00+0000,2018-01-03,04:20:00,3,0,9.6,2.3,0.6,63.6,2990,29,0,0,0,8.3,2.5,1.8,4,12.1,3.6,0,11.4,52.2,34.6
2018-01-03T05:20:00+0000,2018-01-03,05:20:00,3,0,9.6,1.2,1.4,64.6,2990,29,0,0,0,7.6,2.3,1.5,3.1,12.1,3.6,0,12.4,53.3,35.3
2018-01-03T06:20:00+0000,2018-01-03,06:20:00,3,0,9.6,0.3,2.2,66.2,2990,29,0,0,0,7.6,2.1,1.8,3,12.1,4,0,12.1,63.7,38.5
2018-01-03T07:20:00+0000,2018-01-03,07:20:00,3,0,9.6,0.3,2.8,66.8,3390,33,0,0,0,7.6,1.7,1.9,3.1,12.1,4.5,0,11.6,60.8,35.6
2018-01-03T08:20:00+0000,2018-01-03,08:20:00,3,0,9.6,0.3,3.1,67.1,3090,30,0,0,0,8.1,1.8,2.4,3.8,12.1,4.9,0,11.2,54.4,33.8
2018-01-03T09:20:00+0000,2018-01-03,09:20:00,3,0,9.6,0,3.3,70.3,3090,30,0,0,0,8,1.1,2.9,3.6,12.1,5.9,0,11.3,48.6,34.2
2018-01-03T10:20:00+0000,2018-01-03,10:20:00,3,0,8.2,0,3.5,67.3,3090,30,0,0,0,8.9,1.4,3.1,4.8,12.1,6.3,0,10.9,51.8,36.4
